Financial Year,Gender of the Adult,Age band of the Adult,Disability Status of the Adult (dis),"Employment Status of the Adult (high level breakdowns) (emp, ftpt)",Government office region of the Household in the United Kingdom,"Adult total, net Income received from all sources, in bands, in latest prices (weekly, CPI adjusted real terms) (colpall, cpi, dividend, inc, netinc, real, sc)",Count
2022-23,Male,16 to 24 (adult) (adult),Not a disabled child / adult / person,Employee,North East (E12000001),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,4762
2022-23,,,,,,£200 - £249.99,4424
2022-23,,,,,,£250 - £299.99,3805
2022-23,,,,,,£300 - £399.99,15726
2022-23,,,,,,£400 - £499.99,17206
2022-23,,,,,,£500 or more,8112
2022-23,,,,,North West (E12000002),Less than £50,2904
2022-23,,,,,,£50 - £99.99,5411
2022-23,,,,,,£100 - £149.99,11983
2022-23,,,,,,£150 - £199.99,18789
2022-23,,,,,,£200 - £249.99,9948
2022-23,,,,,,£250 - £299.99,12618
2022-23,,,,,,£300 - £399.99,39660
2022-23,,,,,,£400 - £499.99,18457
2022-23,,,,,,£500 or more,12859
2022-23,,,,,Yorkshire and The Humber (E12000003),Less than £50,2817
2022-23,,,,,,£50 - £99.99,4777
2022-23,,,,,,£100 - £149.99,9259
2022-23,,,,,,£150 - £199.99,8050
2022-23,,,,,,£200 - £249.99,15687
2022-23,,,,,,£250 - £299.99,4484
2022-23,,,,,,£300 - £399.99,36439
2022-23,,,,,,£400 - £499.99,14326
2022-23,,,,,,£500 or more,12920
2022-23,,,,,East Midlands (E12000004),Less than £50,2871
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,2594
2022-23,,,,,,£150 - £199.99,11247
2022-23,,,,,,£200 - £249.99,2696
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,34996
2022-23,,,,,,£400 - £499.99,35396
2022-23,,,,,,£500 or more,14025
2022-23,,,,,West Midlands (E12000005),Less than £50,..
2022-23,,,,,,£50 - £99.99,11594
2022-23,,,,,,£100 - £149.99,2812
2022-23,,,,,,£150 - £199.99,8716
2022-23,,,,,,£200 - £249.99,8492
2022-23,,,,,,£250 - £299.99,11251
2022-23,,,,,,£300 - £399.99,62243
2022-23,,,,,,£400 - £499.99,17031
2022-23,,,,,,£500 or more,10588
2022-23,,,,,East (E12000006),Less than £50,1343
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,7079
2022-23,,,,,,£200 - £249.99,15837
2022-23,,,,,,£250 - £299.99,6438
2022-23,,,,,,£300 - £399.99,48283
2022-23,,,,,,£400 - £499.99,13814
2022-23,,,,,,£500 or more,13504
2022-23,,,,,London (E12000007),Less than £50,5089
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,5680
2022-23,,,,,,£150 - £199.99,5151
2022-23,,,,,,£200 - £249.99,13915
2022-23,,,,,,£250 - £299.99,19933
2022-23,,,,,,£300 - £399.99,46784
2022-23,,,,,,£400 - £499.99,36421
2022-23,,,,,,£500 or more,27301
2022-23,,,,,South East (E12000008),Less than £50,..
2022-23,,,,,,£50 - £99.99,11447
2022-23,,,,,,£100 - £149.99,29487
2022-23,,,,,,£150 - £199.99,16787
2022-23,,,,,,£200 - £249.99,9120
2022-23,,,,,,£250 - £299.99,4447
2022-23,,,,,,£300 - £399.99,38650
2022-23,,,,,,£400 - £499.99,47240
2022-23,,,,,,£500 or more,31037
2022-23,,,,,South West (E12000009),Less than £50,8555
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,4478
2022-23,,,,,,£150 - £199.99,5949
2022-23,,,,,,£200 - £249.99,11385
2022-23,,,,,,£250 - £299.99,6134
2022-23,,,,,,£300 - £399.99,39654
2022-23,,,,,,£400 - £499.99,26391
2022-23,,,,,,£500 or more,5663
2022-23,,,,,Wales (W92000004),Less than £50,..
2022-23,,,,,,£50 - £99.99,983
2022-23,,,,,,£100 - £149.99,3834
2022-23,,,,,,£150 - £199.99,4072
2022-23,,,,,,£200 - £249.99,7188
2022-23,,,,,,£250 - £299.99,3388
2022-23,,,,,,£300 - £399.99,15441
2022-23,,,,,,£400 - £499.99,13455
2022-23,,,,,,£500 or more,1977
2022-23,,,,,Scotland (S92000003),Less than £50,3024
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,2992
2022-23,,,,,,£150 - £199.99,20997
2022-23,,,,,,£200 - £249.99,3079
2022-23,,,,,,£250 - £299.99,14812
2022-23,,,,,,£300 - £399.99,22533
2022-23,,,,,,£400 - £499.99,24417
2022-23,,,,,,£500 or more,17055
2022-23,,,,,Northern Ireland (N92000002),Less than £50,1336
2022-23,,,,,,£50 - £99.99,4443
2022-23,,,,,,£100 - £149.99,2964
2022-23,,,,,,£150 - £199.99,4769
2022-23,,,,,,£200 - £249.99,2355
2022-23,,,,,,£250 - £299.99,2081
2022-23,,,,,,£300 - £399.99,9962
2022-23,,,,,,£400 - £499.99,5305
2022-23,,,,,,£500 or more,2819
2022-23,,,,Self-employed (setyp),North East (E12000001),Less than £50,1717
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,North West (E12000002),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,2551
2022-23,,,,,Yorkshire and The Humber (E12000003),Less than £50,..
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,1146
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,1003
2022-23,,,,,,£250 - £299.99,..
2022-23,,,,,,£300 - £399.99,..
2022-23,,,,,,£400 - £499.99,..
2022-23,,,,,,£500 or more,..
2022-23,,,,,East Midlands (E12000004),Less than £50,2901
2022-23,,,,,,£50 - £99.99,..
2022-23,,,,,,£100 - £149.99,..
2022-23,,,,,,£150 - £199.99,..
2022-23,,,,,,£200 - £249.99,..
2022-23,,,,,,£250 - £299.99,4762
2022-23,,,,,,£300 - £399.99,..
