,,,,,,,"Financial Year","2022-23","2022-23 - RSE","2022-23 - Annotations",
"Gender of the Adult","Disability Status of the Adult (dis)","Employment Status of the Adult (high level breakdowns) (emp, ftpt)","Government office region of the Household in the United Kingdom","Adult total, net Income received from all sources, in bands, in latest prices (weekly, CPI adjusted real terms) (colpall, cpi, dividend, inc, netinc, real, sc)","Tenure type of the Household (tentyp)","Type of Adult","Difficulty with mental health",
"Male","Not a disabled child / adult / person","Employee","North East (E12000001)","Less than £50","Social renting","Working-age","No or none",919,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",919,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",919,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",919,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,"Owned outright","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,"Total","Working-age","No or none",919,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",919,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",919,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",919,0.00,,
,,,,"£50 - £99.99","Social renting","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,"Private renting (pr)","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,"Owned outright","Working-age","No or none",835,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",835,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",835,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",835,0.00,,
,,,,,"Buying with a mortgage","Working-age","No or none",867,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",867,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",867,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",867,0.00,,
,,,,,"Total","Working-age","No or none",1702,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1702,0.00,,
,,,,,,"Pensioner (spa)","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
,,,,,,"Total","No or none",1702,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",1702,0.00,,
,,,,"£100 - £149.99","Social renting","Working-age","No or none",..,0.00,,
,,,,,,,"Yes",..,0.00,,
,,,,,,,"Total",..,0.00,,
